DE/rand/1/bin for Advertising Allocation
迭代 10: 最大转化用户数 = 44452.63
迭代 20: 最大转化用户数 = 44479.32
迭代 30: 最大转化用户数 = 44512.45
迭代 40: 最大转化用户数 = 44518.39
迭代 50: 最大转化用户数 = 44534.35
迭代 60: 最大转化用户数 = 44537.56
迭代 70: 最大转化用户数 = 44537.56
迭代 80: 最大转化用户数 = 44537.72
迭代 90: 最大转化用户数 = 44537.72
迭代 100: 最大转化用户数 = 44537.72
迭代 110: 最大转化用户数 = 44537.72
迭代 120: 最大转化用户数 = 44537.72
迭代 130: 最大转化用户数 = 44537.72
迭代 140: 最大转化用户数 = 44537.72
迭代 150: 最大转化用户数 = 44537.72
迭代 160: 最大转化用户数 = 44537.72
迭代 170: 最大转化用户数 = 44537.72
迭代 180: 最大转化用户数 = 44538.31
迭代 190: 最大转化用户数 = 44538.31
迭代 200: 最大转化用户数 = 44538.31
迭代 210: 最大转化用户数 = 44538.31
迭代 220: 最大转化用户数 = 44538.31
迭代 230: 最大转化用户数 = 44538.31
迭代 240: 最大转化用户数 = 44538.31
迭代 250: 最大转化用户数 = 44538.31
迭代 260: 最大转化用户数 = 44538.31
迭代 270: 最大转化用户数 = 44538.42
迭代 280: 最大转化用户数 = 44538.42
迭代 290: 最大转化用户数 = 44538.42
迭代 300: 最大转化用户数 = 44538.42
迭代 310: 最大转化用户数 = 44538.42
迭代 320: 最大转化用户数 = 44538.42
迭代 330: 最大转化用户数 = 44538.42
迭代 340: 最大转化用户数 = 44538.42
迭代 350: 最大转化用户数 = 44538.52
迭代 360: 最大转化用户数 = 44538.52
迭代 370: 最大转化用户数 = 44538.52
迭代 380: 最大转化用户数 = 44538.52
迭代 390: 最大转化用户数 = 44538.52
迭代 400: 最大转化用户数 = 44538.52
迭代 410: 最大转化用户数 = 44538.52
迭代 420: 最大转化用户数 = 44538.52
迭代 430: 最大转化用户数 = 44538.52
迭代 440: 最大转化用户数 = 44538.52
迭代 450: 最大转化用户数 = 44538.61
迭代 460: 最大转化用户数 = 44538.61
迭代 470: 最大转化用户数 = 44538.61
